node,handle,topic_type,topics,post_count,engagement,in_degree,out_degree,weighted_in_degree,weighted_out_degree
did:plc:6zjznsf7qjqnzfzclqq27fi7,germanteacher.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:42han5exrxyrgdsbwosrp7sy,rankednews.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:j3adf6a33tzkw3o7gbvhnymd,englit101.bsky.social,tennis_only,['tennis'],2,1,0,0,0,0
did:plc:niqnrgrc52zdgyvrb7hoal4d,the-express.com,tennis_only,['tennis'],2,0,0,0,0,0
did:plc:gjmmlliismjqhu6ixwtodyox,stopthegop2024.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:25wek72o2vmmzo4vr7baey4w,eniort.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:oee3lufz4ex26cqefcbvd2o4,ashles.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:4sfblfe56ajtkh65pzh3ct4y,1001web.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:xszetkpqzdanveolw665lotq,celanor.org,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:imtaacyegndufu4ttupw2ozz,kbgnotkgb.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:wozjx2gonfaqk7l6jdezjtpz,tenniscinqmars.bsky.social,tennis_only,['tennis'],4,0,0,0,0,0
did:plc:lh2wvayf4ephs377fwwizv45,canada-news.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:dtg2oeh4jj3lmbcxyxl6nm34,some-news.bsky.social,tennis_only,['tennis'],3,4,0,0,0,0
did:plc:3emdcunx65ymrbpcg36hbfhz,frontpage.ink,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:mesq3r54hzhka7mq5c57smzj,dinkyshop.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:6dogihoiskbz3flxsifm22eq,emarktaylor.bsky.social,tennis_only,['tennis'],4,54,0,0,0,0
did:plc:3ik7a3tlhg7fdftcc7yjvmrn,fictionfanspod.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:pzja4ziemadnemlf5lc4tx5h,thimker3.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:pntjm44plexkgbvlrdg65lnl,intrattenimento.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:b574xdjyptgcg6wgjpnuv5mj,tampabay28.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:kjh3kbcy2vmgaiajfof6bz6x,news-flows-uk.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:ywnspi27wbppnbkicolbgmbt,fawnfiction.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:knyr6kf2kszfwx7m6lautuer,pidgeonai.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:zk724dj6dhggrtdvyufv5dc5,francejeunes.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:6cvx6dy7dkks43boq3bq4skk,connersgnyt.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:4bycp36nxoxkfyed4edcrzkt,abolibibelot.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:fuzbzl4kr6yfap6pwksdmyhs,gutstringtheory.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:ndfufin77hov4p2slycw7wkh,socialnews.xyz,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:4thrtm2l4lhlfnyh4kvmle5w,thelifeandlega1.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:ht6nj7wvu3y7ysrlwyc2iy5m,cronaca.bsky.social,tennis_only,['tennis'],4,0,0,0,0,0
